"id","lectureName","lectureId","department","course","semester","classSize","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","thirteen","fourteen","fifteen","sixteen","seventeen","eighteen","nineteen","content","attendance","session","date_created"
125,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","4","5","5","5","4","5","5","4","5","4","4","3","4","Input Supply Sector ","Marketing ","None ","To slow down a bit when lecturing ",,,,,
126,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","MARKETING ","NONE","NONE","SHE MUST CONTINUE THE WAY SHE LECTURES ",,,,,
127,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","3","4","4","4","3","3","2","3","3","2","3","3","3","3","Agribusiness Input Supply Sector ","Marketing ","Marketing ","Interact more with the students ",,,,,
128,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","3","4","4","4","3","3","2","3","3","2","3","3","3","3","Agribusiness Input Supply Sector ","Marketing ","Marketing ","Interact more with the students ",,,,,
129,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","First Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Agribusiness marketing sector","Agribusiness marketing sector ","Marketing sector","The online classes didn't help",,,,,
130,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","4","4","5","5","5","4","4","3","3","3","4","5","3","4","Production ","Marketing ","No presentation ","At least two presentations ",,,,,
131,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","4","5","5","5","5","4","3","4","4","3","4","3","3","4","All aspect","test","none","Engage the students in the class more with questions so that the class will be active",,,,,
132,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","None ","None ","None ","More room for improvement ",,,,,
133,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All aspects ","None ","I dislike the fact that we don’t have a place on campus to have a practical knowledge of what we have been thought in class. ","It’s important the school gets a place on campus for agribusiness students to do their practice ",,,,,
134,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All aspects ","None ","I dislike the fact that we don’t have a place on campus to have a practical knowledge of what we have been thought in class. ","It’s important the school gets a place on campus for agribusiness students to do their practice ",,,,,
135,"Akua Agyeiwaa Afrane","5188","N/A","N/A","Second Semester","N/A","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Every aspect ","No aspect ","No aspect ","No suggestions ",,,,,
136,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","3","4","4","4","4","4","5","3","4","4","4","5","3","4","The marketing part of Agribusiness ","Poultry farming ","Poultry farming ","Giving practical examples to help the students understand whatever they are learning ",,,,,
137,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","4","4","4","4","4","4","4","5","5","5","4","Marketing and production","Input supply sector","Input supply sector","Use of more examples and interactions",,,,,
138,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Marketing ","Production I","It requires a lot of reading ","Organizing practical sessions ",,,,,
139,"Akua Agyeiwaa Afrane","5188","N/A","N/A","Second Semester","N/A","4","5","5","4","5","5","5","5","3","4","5","5","5","4","The general thing","None","None","More reading assignments ",,,,,
140,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All","None ","None ","None ",,,,,
141,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","7","5","5","5","5","5","5","4","5","5","5","4","4","5","5","The teaching aspect ","Definitions","Marketing","More explanations",,,,,
142,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Marketing ","Production I","It requires a lot of reading ","Organizing practical sessions ",,,,,
143,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","1","5","1","5","5","5","5","5","5","5","3","5","Crop and animal production","Management","No course","She is stable at place when lecturing, I suggest she should be moving a little ",,,,,
144,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","4","4","4","4","4","4","4","4","4","4","4","4","4","4","I found the practical exercise to be the most helpful aspect of the course ","None","None","None",,,,,
145,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","4","4","5","4","4","4","3","5","5","3","3","3","2","5","Agribusiness Marketing ","All was normal ","None","A section of practicals should be added  to it",,,,,
146,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","None","None","None","None",,,,,
147,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Production ","None ","None","It’s been great ",,,,,
148,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Managing the agribusiness ","None ","None ","Slow down a little ",,,,,
149,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","First Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Agribusiness in the input, supply, processing and manufacturing sector ","Agribusiness in production sector ","Nothing else","Everything is on point",,,,,
150,"Akua Agyeiwaa Afrane","5188","N/A","N/A","Second Semester","N/A","4","4","5","4","4","4","3","1","3","3","3","2","1","3","Managing the agribusiness ","Agricultural marketing and trade","None","More explanations ",,,,,
151,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","4","4","5","5","3","3","2","4","3","3","4","4","2","3","Everything ","Agribusiness ","Nowhere ","No suggestions",,,,,
152,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","4","4","5","5","3","3","2","4","3","3","4","4","2","3","Everything ","Agribusiness ","Nowhere ","No suggestions",,,,,
153,"Prince Nartey-Addy Amoyaw","5217","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","First Semester","258","2","5","5","5","5","2","5","5","5","5","1","5","5","5","….","…….","….","….",,,,,
154,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","the whole course","none","none","no comment",,,,,
155,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Every aspect","Every aspect","Every aspect","Every aspect",,,,,
156,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Microscopy ","None ","None ","Perfect ",,,,,
157,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Constituents found in plants which are useful in pharmaceutical preparation ","Microscope ","Botanical soursces","Giving time for perusal of the slides ",,,,,
158,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Microscopy","Plant biology ","None","More practicals on plant biology ",,,,,
159,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5"," Fruit,flowers and leaves","None","None","Conduct more online classes",,,,,
160,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Knowing the names of plants and their medicinal uses","Drawing","There is much of drawings","Limited drawing",,,,,
161,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","3","3","4","5","3","4","5","3","5","5","4","5","5","5","-","-","-","-",,,,,
162,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","The thorough explanation of concepts ","No issues during the course","I liked every aspect ","None ",,,,,
163,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","4","4","5","5","5","4","5","5","5","5","5","5","5","5","Theory","None","None","None",,,,,
164,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Knowing the names of plants and their medicinal uses","Drawing","There is much of drawings","Limited drawing",,,,,
165,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","Second Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Every aspect","No aspect","No aspect","So far everything is cool",,,,,
166,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","4","5","5","2","5","5","5","5","5","5","5","3","3","5","Getting to know more things about the simplest things around me","Committing the botanical names to memory","N/A","N/A",,,,,
167,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Both the theory and practical aspects ","Practical ","None ","No more 7am lectures ",,,,,
168,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","4","5","5","5","5","5","Everything ","Nothing ","Nothing ","7am classes should please be moved to 8am",,,,,
169,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Fruits,stem,leaves and starch granules ","Microscope","Botanical sources ","Everybody should be provided with a microscope when we come to the lab",,,,,
170,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Fruits,stem,leaves and starch granules ","Microscope","Botanical sources ","Everybody should be provided with a microscope when we come to the lab",,,,,
171,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","the interactive random questioning during the theory and lab sessions","botanical sources","botanical sources ","maintaining this attitude",,,,,
172,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Every aspect","No aspect","No aspect","So far everything is cool",,,,,
173,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","4","5","5","5","5","3","5","5","5","5","5","Everything ","ergastic cell content","ergastic cell content","she should set her questions directly from the slides and not paraphrase anything ",,,,,
174,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","4","5","5","5","5","5","Everything ","Nothing ","Nothing ","7am classes should please be moved to 8am",,,,,
175,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Everything ","None","None","None",,,,,
176,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","How she communicate and ensure we understand what she teaches ","Nope","Nope","Nope",,,,,
177,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","How she communicate and ensure we understand what she teaches ","Nope","Nope","Nope",,,,,
178,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","4","5","5","5","5","5","5","5","5","5","5","fruits","ergastic cell contents ","ergastic cell contents ","cancel 7am class ",,,,,
179,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Every aspect","Question is not clear","None","None. Her way of teaching is the best ",,,,,
180,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","Second Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Reproduction in Humans","Urinary System","None","Teach Urinary System again",,,,,
181,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","First Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Practical explanation ","No issues during the course","I liked every aspect ","None ",,,,,
182,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","4","5","4","5","4","4","4","5","5","5","5","The practicals ","The inflorescence of flowers","N/A","More graphic representations",,,,,
183,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Her interaction ","Her interactions ","Her making you feel insecured in the class","Reduce pointing of people in class",,,,,
184,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","First Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Everything ","No","Nothing","Nothing really ",,,,,
185,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","4","5","4","5","4","4","4","5","5","5","5","The practicals ","The inflorescence of flowers","N/A","More graphic representations",,,,,
186,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","4","All","None","None","No suggestion ",,,,,
187,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Theory  ","Practical ","Practical ","Everything is okay for now ",,,,,
188,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All aspects ","None ","None ","There should be presentations for various topics treated ",,,,,
189,"George Osafo Korateng","5231","Pharmacy Practice","PHAD504 Veterinary Pharmacy (Alpha & Beta)","First Semester","125","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Renal system ","Reproduction ","Renal system ","I am okay with the course ",,,,,
190,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Fruit, stem, leaves and starch granules ","Microscope ","None ","Everything is well ",,,,,
191,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","4","5","5","5","5","Medicinal uses of some plants ","None ","None ","I can’t figure out but I hope the improvements the authorities will make wil be helpful to us",,,,,
192,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Both practical and theory","Practicals ","None","She should slow done a little when teaching ",,,,,
193,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","She explained everything very well","No","Nothing","Nothing really ",,,,,
194,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","She explained everything very well","No","Nothing","Nothing really ",,,,,
195,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","First Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Communication ","Nothing ","Nothing ","Nope ",,,,,
196,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","First Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Every aspect","Question is not clear","None","His way of teaching is good",,,,,
197,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","First Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All","None","None","No suggestion",,,,,
198,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Theory and practical ","None of them","None","She is doing everything excellent so I don't have a problem",,,,,
199,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All","None","None","Increase the number of meeting days",,,,,
200,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All","None","None","Increase the number of meeting days",,,,,
201,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Theory and pratical","None","None","She is doing everything good , so I don't have problem",,,,,
202,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","First Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","the way he taught the reproductive system","urinary system","urinary system","a quick recap before exams ",,,,,
203,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Macro morphology of plants","None","None","I suggest that plants on campus will be named to ease naming",,,,,
204,"Peace Mawunyo Doe","5287","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","Second Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Digestion in Humans","Lymphatic system ","Lymphatic System","Pleaseeeee teach lymphatic system again😭😭",,,,,
205,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","First Semester","256","4","4","4","5","3","3","4","3","3","3","4","3","3","5","reproduction","none","none","our labs should at the beginning of the semester",,,,,
206,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Macro morphology of plants","None","None","I suggest that plants on campus will be named to ease naming",,,,,
207,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","4","5","4","4","5","5","5","5","5","5","4","4","5","Extra communication of material and interaction with students","N/A","N/A","N/A",,,,,
208,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","Second Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Reproduction ","Lymphatic system ","None ","Everything is well ",,,,,
209,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD142 Human Anatomy & Physiology II (Alpha & Beta)","Second Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Urinary system","None","None","None",,,,,
210,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","No distinctive aspects ","No distinctive aspects ","No distinctive aspects ","Course seems fine to me",,,,,
211,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Plants cells ","Microscopy ","Flowers ","More interreactive sections ",,,,,
212,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","all parts ","a little of the practical ","None ","More practical sessions ",,,,,
213,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","4","5","4","4","5","5","5","5","5","5","4","4","5","Extra communication of material and interaction with students","N/A","N/A","N/A",,,,,
214,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","First Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Practicals ","Theory ","Theory ","Everything is running smooth for now ",,,,,
215,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","First Semester","256","4","3","4","5","4","3","4","5","5","3","5","5","4","4","-","-","-","-",,,,,
216,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","Second Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","His interaction ","Compilation of marks","Absolutely nothing ","Encourages more tests and quizzes for assessment ",,,,,
217,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","Second Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5"," Urine formation and how its aids in wasteful excreretory products","Skin","Electrolytes inbalance","Giving time for perusal of the slides ",,,,,
218,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","A lot, almost everything","Almost nothing","The fact that it was never online","Provide classes online",,,,,
219,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","Second Semester","256","3","5","5","4","5","5","3","4","5","4","4","2","5","4","Practical aspects ","Theory ","Too much theory ","More practical ",,,,,
220,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","4","5","5","5","5","5","5","5","5","5","5","Theory","None","None","More assignments ",,,,,
221,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","Second Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Theory","Practicals ","None","Practicals session should be held earlier within the semester ",,,,,
222,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","First Semester","256","4","4","5","3","3","3","5","5","3","4","3","3","2","3","Understanding the human body more","Committing everything to memory ","N/A","N/A",,,,,
223,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Botanical names","Egastic cell","None ","The number of hours should be reduced ",,,,,
224,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","First Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All Aspects ","None ","None ","More presentations on topics treated ",,,,,
225,"Akua Frema Barfour","5191","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Botanical names","Egastic cell","None ","The number of hours should be reduced ",,,,,
226,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD142 Human Anatomy & Physiology II (Alpha & Beta)","Second Semester","256","5","5","5","5","5","5","5","5","5","3","5","5","5","4","Everything ","Urinary System ","None","Slides should be concise and brief ",,,,,
227,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","Second Semester","256","4","5","5","5","5","4","4","5","5","5","4","5","3","4","Most of the things ","Not much","Nothing ","Nothing really ",,,,,
228,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","First Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Kidney,Reproduction and Urinary System ","Lymphatic ","None ","They have to take their time in explaining ",,,,,
229,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","Second Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Theory","None","None","He's doing good",,,,,
230,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","First Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Kidney,Reproduction and Urinary System ","Lymphatic ","None ","They have to take their time in explaining ",,,,,
231,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","Second Semester","256","4","5","5","5","5","2","3","5","5","4","3","2","2","3","labs","urinary system and reproductive system ","urinary system and reproductive system ","he should take his time and explain each slide",,,,,
232,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","First Semester","256","4","4","5","5","5","4","5","5","5","4","4","5","5","5","Reproduction ","Urinary  System","None","Reduce number of slides to encourage  students to learn more efficiently ",,,,,
233,"Anthony Sarfo","5269","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","Second Semester","256","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All","None","None","Increase the number of meeting days",,,,,
